НомерСделки,ДатаСделки,КолвоСчетов,НомерСчета,ДатаСчета,Сумма
CR073283,4025-07-21 23:55:55,2,CR090069,4025-07-21 00:00:00,1050.0
CR073302,4025-07-23 12:58:46,2,CR090781,4025-08-04 16:34:11,1600.0
CR073302,4025-07-23 12:58:46,2,CR090782,4025-08-04 16:34:19,250.0
CR073314,4025-07-23 14:52:27,2,CR090193,4025-07-28 09:53:10,61227.5
CR073314,4025-07-23 14:52:27,2,CR090194,4025-07-28 09:58:45,61227.5
CR073325,4025-07-23 15:56:36,2,CR091708,4025-08-19 12:42:00,500.0
CR073325,4025-07-23 15:56:36,2,CR094236,4025-09-30 00:00:00,1338.0
CR073326,4025-07-23 16:03:03,2,CR090290,4025-07-25 00:00:00,75192.84
CR073326,4025-07-23 16:03:03,2,CR091024,4025-08-06 14:39:15,0.0
CR073330,4025-07-23 16:27:39,2,CR093283,4025-09-12 16:35:39,0.0
CR073330,4025-07-23 16:27:39,2,CR094252,4025-09-30 00:00:00,0.0
CR073360,4025-07-24 11:02:57,2,CR095352,4025-10-17 12:13:50,1450.0
CR073360,4025-07-24 11:02:57,2,CR095353,4025-10-17 12:13:59,1062.0
CR073366,4025-07-24 11:51:16,2,CR092315,4025-08-29 13:23:49,2990.68
CR073366,4025-07-24 11:51:16,2,CR092316,4025-08-29 13:23:50,158.5
CR073379,4025-07-24 16:18:02,2,CR090677,4025-07-31 00:00:00,650.0
CR073379,4025-07-24 16:18:02,2,CR090678,4025-07-31 00:00:00,0.0
CR073381,4025-07-24 16:41:17,2,CR090927,4025-08-05 17:48:16,200.0
CR073381,4025-07-24 16:41:17,2,CR090928,4025-08-05 17:48:18,7030.0
CR073382,4025-07-24 16:53:41,2,CR091266,4025-08-10 18:20:47,400.0
CR073382,4025-07-24 16:53:41,2,CR091267,4025-08-10 18:20:52,250.0
CR073390,4025-07-25 09:13:43,2,CR090380,4025-07-31 10:05:58,156487.5
CR073390,4025-07-25 09:13:43,2,CR091360,4025-08-08 00:00:00,150.0
CR073403,4025-07-25 10:54:39,2,CR092279,4025-08-29 11:52:20,1034.61
CR073403,4025-07-25 10:54:39,2,CR092280,4025-08-29 11:52:25,3342.0
CR073412,4025-07-25 12:21:36,2,CR091111,4025-08-07 10:58:53,114152.5
CR073412,4025-07-25 12:21:36,2,CR092363,4025-08-31 18:12:14,350.0
CR073414,4025-07-25 13:05:20,2,CR092342,4025-08-29 14:32:38,650.0
CR073414,4025-07-25 13:05:20,2,CR092343,4025-08-29 14:32:38,2500.0
CR073418,4025-07-25 14:02:52,2,CR090333,4025-07-30 13:33:10,4223.0
CR073418,4025-07-25 14:02:52,2,CR090743,4025-07-31 00:00:00,0.0
CR073432,4025-07-28 10:17:18,2,CR095336,4025-10-17 10:17:10,302245.5
CR073432,4025-07-28 10:17:18,2,CR095338,4025-10-17 10:18:28,303564.5
CR073437,4025-07-28 11:12:41,2,CR091120,4025-08-05 17:48:21,41533.7
CR073437,4025-07-28 11:12:41,2,CR091128,4025-08-05 17:48:22,23664.55
CR073451,4025-07-28 12:54:02,2,CR091358,4025-08-11 15:25:46,1700.0
CR073451,4025-07-28 12:54:02,2,CR091359,4025-08-11 15:25:51,150.0
CR073465,4025-07-28 15:56:48,2,CR091625,4025-08-16 15:04:51,6930.0
CR073465,4025-07-28 15:56:48,2,CR091626,4025-08-16 15:04:57,1440.0
CR073482,4025-07-01 08:28:56,2,CR091129,4025-07-30 11:56:51,1570.0
CR073482,4025-07-01 08:28:56,2,CR091130,4025-07-30 11:57:00,4700.0
